source_path,source_kind,terminal_disposition,target_entity_ids,variant_or_state_binding,confidence,evidence_level,owner_question_required,rationale
site/src/components/AuthorizedEventSearch.astro,file,maps_to_composition,search.event-search,,high,live_tree_and_search_e2e,false,
site/src/components/Breadcrumbs.astro,file,maps_to_component,core.breadcrumbs,,high,live_tree,false,
site/src/components/CalendarLink.astro,file,maps_to_component,core.calendar-action,,high,direct_source_review,false,
site/src/components/ClubCatalogKeyboard.astro,file,nonvisual_runtime,navigation.keyboard-enhancement,,high,live_tree,false,
site/src/components/DesktopEventActionPanel.astro,file,split_into_components,event.admission-summary|event.primary-action|core.calendar-action|core.share-action|core.favorite-action|event.action-group,layout=inline|stacked from family=split|editorial,high,direct_source_review,false,"Current file is a composite action surface, not one control identity."
site/src/components/DesktopEventPage.astro,file,maps_to_composition,page.event-detail.editorial|page.event-detail.split|page.event-detail.no-image,,high,decoder_and_direct_source_review,false,
site/src/components/EventBusTransportSchedule.astro,file,maps_to_component,transport.bus-schedule,,high,candidate_as_is_contract_and_current_source,false,Bus schedule has boarding-specific anatomy and a distinct responsive contract.
site/src/components/EventCard.astro,file,maps_to_component,event.card,,high,decoder_and_accessibility_audit,false,
site/src/components/EventCtaPanel.astro,file,maps_to_composition,event.summary-action-panel,,high,direct_source_review,false,Facts and actions reuse shared nested identities.
site/src/components/EventFacts.astro,file,maps_to_component,event.fact-list,,high,direct_source_review,false,
site/src/components/EventFallbackArt.astro,file,maps_to_component,event.fallback-art,,high,live_tree,false,
site/src/components/EventHero.astro,file,split_into_components,event.media-frame|event.media-viewer|event.hero-summary|event.action-group|event.hero-composition,,high,direct_source_review,false,"Source owns media, viewer, summary, admission/actions and composition axes."
site/src/components/EventListItem.astro,file,maps_to_component,event.list-item,,high,exact_current_source_dom_a11y_consumer_reconciliation,false,Distinct calendar/details actions and focus topology contradict an event.card layout-only merge.
site/src/components/EventMediaRail.astro,file,maps_to_component,event.media-rail,,high,live_tree,false,
site/src/components/EventOccurrenceLabel.astro,file,maps_to_component,event.occurrence-label,,high,live_tree,false,
site/src/components/EventOccurrenceNav.astro,file,maps_to_component,event.occurrence-selector,,high,live_tree,false,
site/src/components/EventParticipants.astro,file,maps_to_component,event.participants,,medium,live_tree,false,
site/src/components/EventQuestionCta.astro,file,maps_to_component,event.question-cta,,medium,live_tree,false,
site/src/components/EventTokenMedallions.astro,file,maps_to_composition,event.token-medallions,layout=inline|desktop-slots,high,exact_current_source_domain_taxonomy_consumer_geometry,false,Typed organizer/source/program/pushkin/badge/pill union proves a product pattern with noninterchangeable item semantics.
